,Comp Score,Date,Negative Score,Neutral Score,Positive Score,Source,Text
68,0.0,Tue Mar 27 18:44:13 +0000 2018,0.0,1.0,0.0,CNN,White House press secretary Sarah Sanders says adding the question about citizenship in the 2020 Census is “necessa… https://t.co/GDH95SfAkU
69,-0.1027,Tue Mar 27 18:44:07 +0000 2018,0.113,0.887,0.0,CNN,Health agency warns UK parents as scarlet fever cases soar https://t.co/kbNkN628FM https://t.co/ka59wPUOBh
70,-0.5994,Tue Mar 27 18:37:05 +0000 2018,0.353,0.647,0.0,CNN,Arrest made over suspicious packages sent to military facilities https://t.co/HX4MV3mEu2 https://t.co/bfNd83E9nA
71,0.0,Tue Mar 27 18:34:33 +0000 2018,0.0,1.0,0.0,CNN,"Sarah Sanders holds the White House press briefing. Watch CNN: https://t.co/UYpqI3w42L

Watch on Facebook:… https://t.co/8nxOpQ4777"
72,-0.4939,Tue Mar 27 18:30:07 +0000 2018,0.242,0.758,0.0,CNN,"""Chappaquiddick"" explores one of Sen. Ted Kennedy's darkest hours https://t.co/bsLhkMWJKP https://t.co/qUJFxcluUa"
73,0.7269,Tue Mar 27 18:27:44 +0000 2018,0.0,0.679,0.321,CNN,"President Trump is slated to attend a dinner at a private residence in Virginia, giving top supporters of a pro-Tru… https://t.co/YYhy7wNB1b"
74,-0.1027,Tue Mar 27 18:19:10 +0000 2018,0.1,0.818,0.082,CNN,"Bitcoin briefly fell below $8,000 because of concerns that top social media companies are no longer running ads tie… https://t.co/sTYx9YAFNw"
75,0.0,Tue Mar 27 18:12:06 +0000 2018,0.0,1.0,0.0,CNN,North Atlantic right whales may be on edge of extinction. There's been zero births this year.… https://t.co/O1Q84KZBWC
76,0.0,Tue Mar 27 18:05:04 +0000 2018,0.0,1.0,0.0,CNN,Facebook whistleblower says more companies had access to user data https://t.co/qpDBjaQCeb https://t.co/fwVPIK4IQy
77,0.0,Tue Mar 27 17:58:51 +0000 2018,0.0,1.0,0.0,CNN,There's so much more to explore in the Caribbean beyond the beaches https://t.co/h7HtGx998g https://t.co/ICQ0ota2yC
78,-0.0772,Tue Mar 27 17:51:05 +0000 2018,0.118,0.776,0.106,CNN,"The UK should brace for weaker economic growth if fewer immigrants come to its shores after Brexit, according to go… https://t.co/oM0TuRzDUK"
79,0.0,Tue Mar 27 17:44:03 +0000 2018,0.0,1.0,0.0,CNN,Democrats may already be 35% of the way to a House majority https://t.co/vdDbgZWbW0 | Analysis by Harry Enten https://t.co/eetXFmS08f
80,-0.4522,Tue Mar 27 17:37:05 +0000 2018,0.156,0.844,0.0,CNN,Blue states are far more likely to lose money and power over Census citizenship question https://t.co/iUuXkU2nFN https://t.co/qn32OHixgn
81,0.5367,Tue Mar 27 17:30:09 +0000 2018,0.0,0.698,0.302,CNN,"""Roseanne"" revival offers more nostalgia than laughs https://t.co/CE0eviVNMq https://t.co/9sxKoKVpFz"
82,-0.6908,Tue Mar 27 17:23:04 +0000 2018,0.251,0.749,0.0,CNN,"Sacramento's police chief faces a test after his officers kill an unarmed, black father https://t.co/1XC2FpCxoF https://t.co/IawY5sWkwc"
83,0.0,Tue Mar 27 17:17:05 +0000 2018,0.0,1.0,0.0,CNN,A 21-year-old journalist is making headlines in Pakistan by becoming the country's first transgender news anchor… https://t.co/Xk5xurmNIt
84,-0.5994,Tue Mar 27 17:09:05 +0000 2018,0.187,0.813,0.0,CNN,JUST IN: The California attorney general will hold an independent investigation into the shooting death of Stephon… https://t.co/wdEhNzXYTa
85,0.5574,Tue Mar 27 17:02:06 +0000 2018,0.0,0.753,0.247,CNN,"Wall Street bonuses soar 17% to an average of $184,200 https://t.co/0ogGJoRdbW https://t.co/KFrmweSPZN"
