,Comp Score,Date,Negative Score,Neutral Score,Positive Score,Source,Text
50,-0.4019,Sun Mar 25 08:43:26 +0000 2018,0.101,0.899,0.0,BBC,"RT @bbcweather: #Winter may not be done with us yet, as colder continental air fights back against milder maritime air across the UK this w…"
51,0.0,Sun Mar 25 08:43:22 +0000 2018,0.0,1.0,0.0,BBC,RT @BBCSport: A simply astonishing confession from Australia captain Steve Smith and batsman Cameron Bancroft 😳 https://t.co/YaE7fBZamq
52,-0.25,Sun Mar 25 08:00:12 +0000 2018,0.153,0.743,0.104,BBC,A woman who drinks 30 cans a day says her addiction to energy drinks is worse than gambling.… https://t.co/d11ATW0F0f
53,0.0,Sun Mar 25 07:34:02 +0000 2018,0.0,1.0,0.0,BBC,You learn something new every day. Here's how to poo a baby jaguar. 🤷💩#BigCatsAboutTheHouse https://t.co/Eg5rF1414b
54,-0.4215,Sun Mar 25 07:02:00 +0000 2018,0.141,0.859,0.0,BBC,When the clocks have gone forward but there's no way you're getting out of bed yet. 🙅‍♂️⏰#DaylightSavings https://t.co/cHBPV3ITsQ
55,-0.3818,Sat Mar 24 20:34:01 +0000 2018,0.115,0.885,0.0,BBC,"""I still see people screaming for help.""

This Sunday at 9pm on @BBCTwo, @REGYATES meets the people whose lives wer… https://t.co/RS16yXF17H"
56,0.4767,Sat Mar 24 20:00:11 +0000 2018,0.0,0.866,0.134,BBC,"The story of the last decade of Picasso's life, through the words of family and friends. 🎨

Picasso's Last Stand |… https://t.co/RyiuI8KgSk"
57,0.5859,Sat Mar 24 19:16:04 +0000 2018,0.0,0.817,0.183,BBC,"""Beauty is your inside, it's your personality and what shines from beneath."" 

25-year-old rapper Paigey Cakey had… https://t.co/CVGr69Y0oO"
58,0.5719,Sat Mar 24 18:44:04 +0000 2018,0.0,0.748,0.252,BBC,Cambridge have won the men's and women's Boat Races. https://t.co/COTzXYuo4N 🏆 🚣 #BoatRace2018 https://t.co/6SQjF1ToSt
59,0.3182,Sat Mar 24 18:02:01 +0000 2018,0.0,0.777,0.223,BBC,"📺😂 @RomeshRanga is NOT a fan of Gogglebox. #LiveAtTheApollo
https://t.co/FHm9g6Emss"
