,Comp Score,Date,Negative Score,Neutral Score,Positive Score,Source,Text
47,0.1275,Fri Mar 09 22:24:20 +0000 2018,0.092,0.795,0.113,CBS,"RT @MomCBS: If you missed guest star @KChenoweth in the latest episode of #Mom, not to worry! Watch now: https://t.co/RlvXoGOZ0l https://t.…"
48,0.4215,Fri Mar 09 21:10:21 +0000 2018,0.0,0.823,0.177,CBS,"Give a round of applause to @KelseaBallerini, @MirandaLambert, @Reba, @MarenMorris, and @CarrieUnderwood, the five… https://t.co/Ncp1BTXx6N"
49,0.8658,Fri Mar 09 18:27:28 +0000 2018,0.0,0.553,0.447,CBS,"RT @thegoodfight: Smart, sexy, and sophisticated. See what's coming this season on #TheGoodFight. https://t.co/CuKhx2G50P https://t.co/ygTI…"
50,0.0,Fri Mar 09 16:02:27 +0000 2018,0.0,1.0,0.0,CBS,RT @BlueBloods_CBS: Even stand-up guys fall down sometimes. #BlueBloods is new tonight at 10/9c! https://t.co/UOlDm22wWW
51,0.8625,Thu Mar 08 18:00:49 +0000 2018,0.0,0.664,0.336,CBS,Today and every day we celebrate the women in our lives who empower and inspire us. Share a story about an influent… https://t.co/9rVtqrElvT
52,0.4926,Thu Mar 08 17:03:04 +0000 2018,0.0,0.868,0.132,CBS,Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post… https://t.co/7ShhvE48zy
53,-0.2023,Wed Mar 07 18:39:10 +0000 2018,0.23,0.619,0.15,CBS,"RT @thegoodfight: Meticulously constructed. Soapy &amp; sexy. Intoxicating, savage television. 🔥 Here's what critics are saying about #TheGoodF…"
54,0.0,Wed Mar 07 17:06:02 +0000 2018,0.0,1.0,0.0,CBS,"This just in! @Jason_Aldean, @mirandalambert, @LukeBryanOnline, and many more are set to perform at the 53rd Academ… https://t.co/mfxw2VxzU4"
55,0.6705,Tue Mar 06 18:10:59 +0000 2018,0.0,0.756,0.244,CBS,"Meet the ensemble of talented actors slated to join $1, a new mystery series coming to CBS All Access:… https://t.co/QoyYv7vxwg"
56,0.3818,Mon Mar 05 22:16:43 +0000 2018,0.0,0.833,0.167,CBS,"Will @Jason_Aldean, @garthbrooks, @LukeBryanOnline, @ChrisStapleton, or @KeithUrban be named Entertainer Of The Yea… https://t.co/rMD8zjeX3s"
